Date,Location,New Cases,New Deaths,New Recovered,Island,Area (km2),Population,Population Density,New Cases per Million,Total Cases per Million,New Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths
3/1/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.6,0,0.5128,1.9231,,
3/2/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.78,0,0.4878,1.8293,1,1
3/2/2020,Riau,1,0,0,Sumatera,87024,6074100,69.8,0.16,0.16,0,0,1,,
3/3/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,3.96,0,0.4651,1.7442,1,1
3/3/2020,Jawa Barat,1,1,0,Jawa,35378,45161325,1276.55,0.02,0.02,0.02,1,60,,
3/3/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,0,1
3/4/2020,DKI Jakarta,2,0,0,Jawa,664,10846145,16334.31,0.18,4.15,0,0.4444,1.6667,1,1
3/4/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.04,0,0.5,30,1,0
3/4/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/5/2020,DKI Jakarta,0,1,0,Jawa,664,10846145,16334.31,0,4.15,0.09,0.4667,1.6667,0,
3/5/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.07,0,0.3333,20,1,1
3/5/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/6/2020,Banten,1,0,1,Jawa,9663,10722374,1109.64,0.09,0.09,0,5,111,,
3/6/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.4667,1.6667,1,0
3/6/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.09,0,0.25,15,1,1
3/6/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/7/2020,Banten,0,0,0,Jawa,9663,10722374,1109.64,0,0.09,0,5,111,0,1
3/7/2020,DKI Jakarta,0,2,0,Jawa,664,10846145,16334.31,0,4.15,0.18,0.5111,1.6667,1,
3/7/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,0,1
3/7/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/8/2020,Banten,1,0,3,Jawa,9663,10722374,1109.64,0.09,0.19,0,2.5,57,,1
3/8/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5111,1.6667,1,0
3/8/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/8/2020,Jawa Tengah,1,1,0,Jawa,32801,36364072,1108.64,0.03,0.03,0.03,10,11,,
3/8/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/9/2020,Banten,0,0,0,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,57,0,1
3/9/2020,DKI Jakarta,0,1,0,Jawa,664,10846145,16334.31,0,4.15,0.09,0.5333,1.6667,1,
3/9/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/9/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.03,0,10,11,0,0
3/9/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/10/2020,Banten,0,0,8,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,61,1,1
3/10/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5333,1.6667,1,0
3/10/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.09,0,0.25,15,1,1
3/10/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.03,0,10,11,1,1
3/10/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/10/2020,Sulawesi Tenggara,1,0,0,Sulawesi,38068,2635461,69.23,0.38,0.38,0,0,0,,
3/11/2020,Bali,1,1,0,Nusa Tenggara,5780,4216171,729.43,0.24,0.24,0.24,1,3,,
3/11/2020,Banten,0,0,8,Jawa,9663,10722374,1109.64,0,0.19,0,2.5,65,1,1
3/11/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,4.15,0,0.5333,1.6667,1,1
3/11/2020,Jawa Barat,0,1,0,Jawa,35378,45161325,1276.55,0,0.09,0.02,0.5,15,1,
3/11/2020,Jawa Tengah,2,1,1,Jawa,32801,36364072,1108.64,0.05,0.08,0.03,3.6667,4,,
3/11/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/11/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,0,1
3/12/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,0,0
3/12/2020,Banten,0,1,2,Jawa,9663,10722374,1109.64,0,0.19,0.09,3,66,1,
3/12/2020,DKI Jakarta,2,1,4,Jawa,664,10846145,16334.31,0.18,4.33,0.09,0.5319,1.6809,,
3/12/2020,Jawa Barat,1,0,0,Jawa,35378,45161325,1276.55,0.02,0.11,0,0.4,12,,0
3/12/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.08,0,3.6667,4,0,0
3/12/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/12/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/13/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/13/2020,Banten,1,1,0,Jawa,9663,10722374,1109.64,0.09,0.28,0.09,2.3333,44,,1
3/13/2020,DKI Jakarta,4,1,3,Jawa,664,10846145,16334.31,0.37,4.7,0.09,0.5098,1.6078,2,1
3/13/2020,Jawa Barat,4,0,1,Jawa,35378,45161325,1276.55,0.09,0.2,0,0.2222,6.7778,4,1
3/13/2020,Jawa Tengah,0,0,0,Jawa,32801,36364072,1108.64,0,0.08,0,3.6667,4,1,1
3/13/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/13/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/14/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/14/2020,Banten,1,0,2,Jawa,9663,10722374,1109.64,0.09,0.37,0,1.75,33.5,1,0
3/14/2020,DKI Jakarta,2,1,1,Jawa,664,10846145,16334.31,0.18,4.89,0.09,0.5094,1.566,0.5,1
3/14/2020,Jawa Barat,0,0,0,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,6.7778,0,1
3/14/2020,Jawa Tengah,2,0,1,Jawa,32801,36364072,1108.64,0.05,0.14,0,2.2,2.6,,1
3/14/2020,Kalimantan Timur,3,0,0,Kalimantan,129067,3552191,27.52,0.84,0.84,0,0,1,,
3/14/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/14/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/15/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/15/2020,Banten,1,0,5,Jawa,9663,10722374,1109.64,0.09,0.47,0,1.4,27.8,1,1
3/15/2020,DKI Jakarta,8,3,0,Jawa,664,10846145,16334.31,0.74,5.62,0.28,0.4918,1.3607,4,3
3/15/2020,Jawa Barat,0,0,2,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,7,1,1
3/15/2020,Jawa Tengah,1,0,1,Jawa,32801,36364072,1108.64,0.03,0.16,0,1.8333,2.3333,0.5,1
3/15/2020,Kalimantan Timur,2,0,0,Kalimantan,129067,3552191,27.52,0.56,1.41,0,0,0.6,0.67,1
3/15/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/15/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,0.38,0,0,0,1,1
3/16/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/16/2020,Banten,1,0,4,Jawa,9663,10722374,1109.64,0.09,0.56,0,1.1667,23.8333,1,1
3/16/2020,DKI Jakarta,2,3,0,Jawa,664,10846145,16334.31,0.18,5.81,0.28,0.5238,1.3175,0.25,1
3/16/2020,Daerah Istimewa Yogyakarta,1,0,0,Jawa,3133,3631015,1158.9,0.28,0.28,0,0,2,,
3/16/2020,Jawa Barat,0,0,2,Jawa,35378,45161325,1276.55,0,0.2,0,0.2222,7.2222,1,1
3/16/2020,Jawa Tengah,1,0,0,Jawa,32801,36364072,1108.64,0.03,0.19,0,1.5714,2,1,1
3/16/2020,Kalimantan Timur,1,0,0,Kalimantan,129067,3552191,27.52,0.28,1.69,0,0,0.5,0.5,1
3/16/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/16/2020,Sulawesi Tenggara,2,0,0,Sulawesi,38068,2635461,69.23,0.76,1.14,0,0,0,,1
3/17/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/17/2020,Banten,0,1,3,Jawa,9663,10722374,1109.64,0,0.56,0.09,1.3333,24.3333,0,
3/17/2020,DKI Jakarta,2,1,0,Jawa,664,10846145,16334.31,0.18,5.99,0.09,0.5231,1.2769,1,0.33
3/17/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.28,0,0,2,0,1
3/17/2020,Jawa Barat,11,0,0,Jawa,35378,45161325,1276.55,0.24,0.44,0,0.1,3.25,,1
3/17/2020,Jawa Tengah,1,0,1,Jawa,32801,36364072,1108.64,0.03,0.22,0,1.375,1.875,1,1
3/17/2020,Kalimantan Timur,1,0,0,Kalimantan,129067,3552191,27.52,0.28,1.97,0,0,0.4286,1,1
3/17/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/17/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,0,1
3/17/2020,Sumatera Utara,1,1,0,Sumatera,72981,14874889,203.82,0.07,0.07,0.07,1,10,,
3/18/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.24,0,1,3,1,1
3/18/2020,Banten,0,1,1,Jawa,9663,10722374,1109.64,0,0.56,0.09,1.5,24.5,1,1
3/18/2020,DKI Jakarta,1,1,0,Jawa,664,10846145,16334.31,0.09,6.09,0.09,0.5303,1.2576,0.5,1
3/18/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.28,0,0,2,1,1
3/18/2020,Jawa Barat,4,1,2,Jawa,35378,45161325,1276.55,0.09,0.53,0.02,0.125,2.7917,0.36,
3/18/2020,Jawa Tengah,3,1,0,Jawa,32801,36364072,1108.64,0.08,0.3,0.03,1.0909,1.3636,3,
3/18/2020,Jawa Timur,7,1,0,Jawa,47803,40479023,846.78,0.17,0.44,0.02,1.8333,18.7222,,
3/18/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,1.97,0,0,0.4286,0,1
3/18/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/18/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/18/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,0,0
3/19/2020,Bali,1,1,0,Nusa Tenggara,5780,4216171,729.43,0.24,0.47,0.24,1,1.5,,
3/19/2020,Banten,0,1,3,Jawa,9663,10722374,1109.64,0,0.56,0.09,1.6667,25,1,1
3/19/2020,DKI Jakarta,2,0,1,Jawa,664,10846145,16334.31,0.18,6.27,0,0.5147,1.2353,2,0
3/19/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.28,0,0,2,1,1
3/19/2020,Jawa Barat,5,1,1,Jawa,35378,45161325,1276.55,0.11,0.64,0.02,0.1379,2.3448,1.25,1
3/19/2020,Jawa Tengah,2,0,0,Jawa,32801,36364072,1108.64,0.05,0.36,0,0.9231,1.1538,0.67,0
3/19/2020,Jawa Timur,3,0,0,Jawa,47803,40479023,846.78,0.07,0.52,0,1.5714,16.0476,0.43,0
3/19/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,1.97,0,0,0.4286,1,1
3/19/2020,Kepulauan Riau,1,1,0,Sumatera,8202,1929400,235.24,0.52,0.52,0.52,1,0,,
3/19/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/19/2020,Sulawesi Selatan,2,0,0,Sulawesi,46717,9426885,201.78,0.21,0.21,0,0,2.5,,
3/19/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/19/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/20/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,0,0
3/20/2020,Banten,0,3,3,Jawa,9663,10722374,1109.64,0,0.56,0.28,2.1667,25.5,1,3
3/20/2020,DKI Jakarta,5,3,1,Jawa,664,10846145,16334.31,0.46,6.73,0.28,0.5205,1.1644,2.5,
3/20/2020,Daerah Istimewa Yogyakarta,1,0,1,Jawa,3133,3631015,1158.9,0.28,0.55,0,0,1.5,,1
3/20/2020,Jambi,1,0,0,Sumatera,50058,3493357,69.79,0.29,0.29,0,0,4,,
3/20/2020,Jawa Barat,16,4,0,Jawa,35378,45161325,1276.55,0.35,1,0.09,0.1778,1.5111,3.2,4
3/20/2020,Jawa Tengah,4,0,1,Jawa,32801,36364072,1108.64,0.11,0.47,0,0.7059,0.9412,2,1
3/20/2020,Jawa Timur,9,0,0,Jawa,47803,40479023,846.78,0.22,0.74,0,1.1,11.2333,3,1
3/20/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,1.97,0,0,0.4286,1,1
3/20/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,0,0
3/20/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/20/2020,Sulawesi Selatan,0,0,0,Sulawesi,46717,9426885,201.78,0,0.21,0,0,2.5,0,1
3/20/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/20/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/21/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/21/2020,Banten,0,0,2,Jawa,9663,10722374,1109.64,0,0.56,0,2.1667,25.8333,1,0
3/21/2020,DKI Jakarta,8,3,6,Jawa,664,10846145,16334.31,0.74,7.47,0.28,0.5062,1.1235,1.6,1
3/21/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.55,0,0,1.5,0,1
3/21/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,0,1
3/21/2020,Jawa Barat,5,0,0,Jawa,35378,45161325,1276.55,0.11,1.11,0,0.16,1.36,0.31,0
3/21/2020,Jawa Tengah,1,1,0,Jawa,32801,36364072,1108.64,0.03,0.49,0.03,0.7222,0.8889,0.25,
3/21/2020,Jawa Timur,9,1,0,Jawa,47803,40479023,846.78,0.22,0.96,0.02,0.8718,8.641,1,
3/21/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,1.97,0,0,0.4286,1,1
3/21/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/21/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/21/2020,Sulawesi Selatan,0,0,0,Sulawesi,46717,9426885,201.78,0,0.21,0,0,2.5,1,1
3/21/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/21/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/22/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/22/2020,Banten,0,2,0,Jawa,9663,10722374,1109.64,0,0.56,0.19,2.5,25.8333,1,
3/22/2020,DKI Jakarta,2,0,3,Jawa,664,10846145,16334.31,0.18,7.65,0,0.494,1.1325,0.25,0
3/22/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.55,0,0,1.5,1,1
3/22/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,1,1
3/22/2020,Jawa Barat,3,3,1,Jawa,35378,45161325,1276.55,0.07,1.17,0.07,0.2075,1.3019,0.6,
3/22/2020,Jawa Tengah,1,0,1,Jawa,32801,36364072,1108.64,0.03,0.52,0,0.6842,0.8947,1,0
3/22/2020,Jawa Timur,14,0,0,Jawa,47803,40479023,846.78,0.35,1.31,0,0.6415,6.3585,1.56,0
3/22/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,1.97,0,0,0.4286,1,1
3/22/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/22/2020,Maluku,1,0,0,Maluku,46914,1847097,39.37,0.54,0.54,0,1,1,,
3/22/2020,Papua,2,0,0,Papua,319036,4340348,13.6,0.46,0.46,0,0.5,1,,
3/22/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/22/2020,Sulawesi Selatan,0,0,0,Sulawesi,46717,9426885,201.78,0,0.21,0,0,2.5,1,1
3/22/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/22/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/23/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/23/2020,Banten,0,2,3,Jawa,9663,10722374,1109.64,0,0.56,0.19,2.8333,26.3333,1,1
3/23/2020,DKI Jakarta,0,0,0,Jawa,664,10846145,16334.31,0,7.65,0,0.494,1.1325,0,1
3/23/2020,Daerah Istimewa Yogyakarta,0,1,0,Jawa,3133,3631015,1158.9,0,0.55,0.28,0.5,1.5,1,
3/23/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,1,1
3/23/2020,Jawa Barat,6,4,0,Jawa,35378,45161325,1276.55,0.13,1.31,0.09,0.2542,1.1695,2,1.33
3/23/2020,Jawa Tengah,3,0,0,Jawa,32801,36364072,1108.64,0.08,0.6,0,0.5909,0.7727,3,1
3/23/2020,Jawa Timur,2,1,0,Jawa,47803,40479023,846.78,0.05,1.36,0.02,0.6364,6.1273,0.14,
3/23/2020,Kalimantan Timur,1,0,0,Kalimantan,129067,3552191,27.52,0.28,2.25,0,0,0.375,,1
3/23/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/23/2020,Maluku,0,0,0,Maluku,46914,1847097,39.37,0,0.54,0,1,1,0,1
3/23/2020,Maluku Utara,1,0,0,Maluku,31983,1307803,40.89,0.76,0.76,0,0,0,,
3/23/2020,Papua,0,0,0,Papua,319036,4340348,13.6,0,0.46,0,0.5,1,0,1
3/23/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/23/2020,Sulawesi Selatan,0,1,0,Sulawesi,46717,9426885,201.78,0,0.21,0.11,0.5,2.5,1,
3/23/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/23/2020,Sumatera Selatan,1,2,0,Sumatera,91592,8217551,89.72,0.12,0.12,0.24,2,1,,
3/23/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/24/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/24/2020,Banten,0,1,3,Jawa,9663,10722374,1109.64,0,0.56,0.09,3,26.8333,1,0.5
3/24/2020,DKI Jakarta,16,19,3,Jawa,664,10846145,16334.31,1.48,9.13,1.75,0.6061,0.9798,,
3/24/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.55,0,0.5,1.5,1,0
3/24/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,1,1
3/24/2020,Jawa Barat,2,2,2,Jawa,35378,45161325,1276.55,0.04,1.35,0.04,0.2787,1.1639,0.33,0.5
3/24/2020,Jawa Tengah,3,1,1,Jawa,32801,36364072,1108.64,0.08,0.69,0.03,0.56,0.72,1,
3/24/2020,Jawa Timur,3,1,0,Jawa,47803,40479023,846.78,0.07,1.43,0.02,0.6207,5.8103,1.5,1
3/24/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,2.25,0,0,0.375,0,1
3/24/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/24/2020,Maluku,0,0,0,Maluku,46914,1847097,39.37,0,0.54,0,1,1,1,1
3/24/2020,Maluku Utara,0,0,0,Maluku,31983,1307803,40.89,0,0.76,0,0,0,0,1
3/24/2020,Papua,0,0,0,Papua,319036,4340348,13.6,0,0.46,0,0.5,1,1,1
3/24/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/24/2020,Sulawesi Selatan,2,0,0,Sulawesi,46717,9426885,201.78,0.21,0.42,0,0.25,1.25,,0
3/24/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/24/2020,Sumatera Selatan,0,0,0,Sumatera,91592,8217551,89.72,0,0.12,0,2,1,0,0
3/24/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/25/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/25/2020,Banten,0,1,3,Jawa,9663,10722374,1109.64,0,0.56,0.09,3.1667,27.3333,1,1
3/25/2020,DKI Jakarta,1,1,0,Jawa,664,10846145,16334.31,0.09,9.22,0.09,0.61,0.97,0.06,0.05
3/25/2020,Daerah Istimewa Yogyakarta,1,1,0,Jawa,3133,3631015,1158.9,0.28,0.83,0.28,0.6667,1,,
3/25/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,1,1
3/25/2020,Jawa Barat,5,0,1,Jawa,35378,45161325,1276.55,0.11,1.46,0,0.2576,1.0909,2.5,0
3/25/2020,Jawa Tengah,23,1,1,Jawa,32801,36364072,1108.64,0.63,1.32,0.03,0.3125,0.3958,7.67,1
3/25/2020,Jawa Timur,9,0,1,Jawa,47803,40479023,846.78,0.22,1.66,0,0.5373,5.0448,3,0
3/25/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,2.25,0,0,0.375,1,1
3/25/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/25/2020,Maluku,0,0,0,Maluku,46914,1847097,39.37,0,0.54,0,1,1,1,1
3/25/2020,Maluku Utara,0,0,0,Maluku,31983,1307803,40.89,0,0.76,0,0,0,1,1
3/25/2020,Papua,0,0,0,Papua,319036,4340348,13.6,0,0.46,0,0.5,1,1,1
3/25/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/25/2020,Sulawesi Selatan,9,0,0,Sulawesi,46717,9426885,201.78,0.95,1.38,0,0.0769,0.3846,4.5,1
3/25/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/25/2020,Sumatera Selatan,0,0,0,Sumatera,91592,8217551,89.72,0,0.12,0,2,1,1,1
3/25/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/26/2020,Aceh,1,0,0,Sumatera,57956,5247257,90.54,0.19,0.19,0,0,1,,
3/26/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
3/26/2020,Banten,0,0,4,Jawa,9663,10722374,1109.64,0,0.56,0,3.1667,28,1,0
3/26/2020,DKI Jakarta,57,2,0,Jawa,664,10846145,16334.31,5.26,14.48,0.18,0.4013,0.6178,57,2
3/26/2020,Daerah Istimewa Yogyakarta,0,0,0,Jawa,3133,3631015,1158.9,0,0.83,0,0.6667,1,0,0
3/26/2020,Jambi,0,0,0,Sumatera,50058,3493357,69.79,0,0.29,0,0,4,1,1
3/26/2020,Jawa Barat,5,1,0,Jawa,35378,45161325,1276.55,0.11,1.57,0.02,0.2535,1.0141,1,
3/26/2020,Jawa Tengah,4,0,1,Jawa,32801,36364072,1108.64,0.11,1.43,0,0.2885,0.3846,0.17,0
3/26/2020,Jawa Timur,13,1,0,Jawa,47803,40479023,846.78,0.32,1.98,0.02,0.4625,4.225,1.44,
3/26/2020,Kalimantan Tengah,2,0,0,Kalimantan,153565,2570289,16.74,0.78,0.78,0,1,19.5,,
3/26/2020,Kalimantan Timur,0,0,0,Kalimantan,129067,3552191,27.52,0,2.25,0,0,0.375,1,1
3/26/2020,Kepulauan Riau,0,0,0,Sumatera,8202,1929400,235.24,0,0.52,0,1,0,1,1
3/26/2020,Lampung,2,0,0,Sumatera,34624,9095591,262.7,0.22,0.22,0,0,0,,
3/26/2020,Maluku,0,0,0,Maluku,46914,1847097,39.37,0,0.54,0,1,1,1,1
3/26/2020,Maluku Utara,0,0,0,Maluku,31983,1307803,40.89,0,0.76,0,0,0,1,1
3/26/2020,Papua,4,0,0,Papua,319036,4340348,13.6,0.92,1.38,0,0.1667,0.3333,,1
3/26/2020,Riau,0,0,0,Sumatera,87024,6074100,69.8,0,0.16,0,0,1,1,1
3/26/2020,Sulawesi Selatan,14,0,0,Sulawesi,46717,9426885,201.78,1.49,2.86,0,0.037,0.1852,1.56,1
3/26/2020,Sulawesi Tengah,1,0,0,Sulawesi,61841,2955567,47.79,0.34,0.34,0,0,0,,
3/26/2020,Sulawesi Tenggara,0,0,0,Sulawesi,38068,2635461,69.23,0,1.14,0,0,0,1,1
3/26/2020,Sulawesi Utara,1,0,1,Sulawesi,13892,2641884,190.17,0.38,0.38,0,1,5,,
3/26/2020,Sumatera Barat,3,0,0,Sumatera,42013,5519245,131.37,0.54,0.54,0,0,0.3333,,
3/26/2020,Sumatera Selatan,0,0,0,Sumatera,91592,8217551,89.72,0,0.12,0,2,1,1,1
3/26/2020,Sumatera Utara,0,0,0,Sumatera,72981,14874889,203.82,0,0.07,0,1,10,1,1
3/27/2020,Aceh,3,0,0,Sumatera,57956,5247257,90.54,0.57,0.76,0,0,0.25,3,1
3/27/2020,Bali,0,0,0,Nusa Tenggara,5780,4216171,729.43,0,0.47,0,1,1.5,1,1
